Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
419,Clash of Clans,19600000,3961318438,Gaming,674,United States,US,Games,22292000,5600,89200,66900,1100000,2013,Jan,31,88.2,37.09024,-95.712891
420,RKD Studios,19500000,5234251168,Entertainment,847,India,IN,Entertainment,59841000,0,0,0,0,2014,Mar,14,28.1,20.593684,78.96288
421,DLS News,19400000,2255542592,News & Politics,4750,India,IN,News,32111000,8000,128400,96300,1500000,2017,Jul,5,28.1,20.593684,78.96288
422,JukiLop,19400000,1577859332,People & Blogs,85,Mexico,MX,People,2382000,595,9500,7100,114300,2017,Sep,15,40.2,23.634501,-102.552784
423,etvteluguindia,19400000,23038014291,Entertainment,125974,India,IN,Entertainment,272917000,68200,1100000,818800,13100000,2010,Mar,15,28.1,20.593684,78.96288
424,FIFA,19400000,5529131886,Sports,10728,Switzerland,CH,Sports,58863000,14700,235500,176600,2800000,2006,Sep,6,59.6,46.818188,8.227512
425,Manoj  parihar,19300000,264228052,nan,335,India,IN,Howto,37167000,9300,148700,111500,1800000,2021,Mar,2,28.1,20.593684,78.96288
426,Vsauce,19300000,2897907132,Science & Technology,462,nan,nan,Entertainment,69614000,17400,278500,208800,3300000,2007,Jul,30,nan,nan,nan
427,Unbox Therapy,19300000,4508184467,Science & Technology,2175,nan,nan,Tech,16718000,4200,66900,50200,802500,2010,Dec,21,nan,nan,nan
428,shane,19200000,4329121104,People & Blogs,570,United States,US,Comedy,2730000,683,10900,8200,131100,2005,Sep,22,88.2,37.09024,-95.712891
429,Sonotek,19200000,7590582024,Entertainment,8285,India,IN,Music,28678000,7200,114700,86000,1400000,2011,Jan,11,28.1,20.593684,78.96288
430,Jimmy Kimmel Live,19100000,13124645973,Entertainment,6526,United States,US,Comedy,17243000,4300,69000,51700,827600,2006,Sep,20,88.2,37.09024,-95.712891
