Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
155,ImagineDragons,30700000,16793072362,Music,92,United States,US,Music,188837000.0,47200.0,755300.0,566500.0,9100000,2009.0,Aug,3.0,88.2,37.09024,-95.712891
157,Round2hell,30700000,3145161634,Comedy,67,India,IN,Entertainment,31822000.0,8000.0,127300.0,95500.0,1500000,2016.0,Oct,20.0,28.1,20.593684,78.96288
158,Zee News,30500000,16709857823,News  Politics,180092,India,IN,News,461472000.0,115400.0,1800000.0,1400000.0,22200000,2007.0,Jun,19.0,28.1,20.593684,78.96288
159,AboFlah,30500000,4521573939,Gaming,641,Kuwait,KW,Entertainment,157908000.0,39500.0,631600.0,473700.0,7600000,2016.0,Jul,28.0,54.4,29.31166,47.481766
160,AH,30400000,4332274962,Entertainment,2197,Indonesia,ID,Entertainment,21440000.0,5400.0,85800.0,64300.0,1000000,2014.0,Jan,26.0,36.3,-0.789275,113.921327
161,Trap Nation,30400000,14037426379,Music,2725,United States,US,Music,45822000.0,11500.0,183300.0,137500.0,2200000,2012.0,Sep,23.0,88.2,37.09024,-95.712891
163,Boram Tube Vlog ,30300000,13546549817,Entertainment,223,United States,US,Entertainment,22724000.0,5700.0,90900.0,68200.0,1100000,2012.0,Feb,21.0,88.2,37.09024,-95.712891
164,Adele,30200000,14199108016,Music,15,United Kingdom,GB,Music,137099000.0,34300.0,548400.0,411300.0,6600000,2008.0,Apr,4.0,60.0,55.378051,-3.435973
166,    toyoraljanahtv,30200000,27684955537,Entertainment,3254,Jordan,JO,Music,116434000.0,29100.0,465700.0,349300.0,5600000,2008.0,Nov,24.0,34.4,30.585164,36.238414
168,Spinnin Records,30100000,19607009165,Music,11501,Netherlands,NL,Music,100040000.0,25000.0,400200.0,300100.0,4800000,2007.0,Jul,12.0,85.0,52.132633,5.291266
169,Little Angel Nursery Rhymes  Kids Songs,30100000,22593193994,Education,1349,United States,US,Education,107525000.0,26900.0,430100.0,322600.0,5200000,2015.0,Dec,14.0,88.2,37.09024,-95.712891
171,Shawn Mendes,30000000,12831200855,Music,133,Canada,CA,Music,88749000.0,22200.0,355000.0,266200.0,4300000,2011.0,Jan,19.0,68.9,56.130366,-106.346771
172,ashish chanchlani vines,29800000,4457913639,Comedy,151,India,IN,Comedy,26171000.0,6500.0,104700.0,78500.0,1300000,2009.0,Jul,6.0,28.1,20.593684,78.96288
173,Ultra Records,29600000,17208027242,Music,4903,United States,US,Music,81884000.0,20500.0,327500.0,245700.0,3900000,2006.0,Oct,24.0,88.2,37.09024,-95.712891
175,Maluma,29300000,21226945136,Music,14,Argentina,AR,People,15.0,0.0,0.06,0.05,1,2015.0,Oct,31.0,90.0,-38.416097,-63.616672
176,Zhong,29200000,14727238483,Entertainment,1513,United States,US,Entertainment,180519000.0,0.0,0.0,0.0,0,2015.0,Jan,19.0,88.2,37.09024,-95.712891
177,Enaldinho,29200000,11627437847,Comedy,3654,Brazil,BR,Games,303100000.0,75800.0,1200000.0,909300.0,14500000,2012.0,Nov,7.0,51.3,-14.235004,-51.92528
178,AuronPlay,29200000,4079141673,Comedy,404,Spain,ES,Comedy,12143000.0,3000.0,48600.0,36400.0,582900,2006.0,Feb,28.0,88.9,40.463667,-3.74922
180,infobells  Tamil,28900000,17930570614,Education,555,India,IN,Education,109828000.0,27500.0,439300.0,329500.0,5300000,2014.0,Mar,13.0,28.1,20.593684,78.96288
182,The Late Late Show with James Corden,28400000,9956764048,Entertainment,5809,United States,US,Entertainment,26435000.0,6600.0,105700.0,79300.0,1300000,2006.0,Nov,21.0,88.2,37.09024,-95.712891
183,Aditya Movies,28400000,10062770060,Movies,5436,India,IN,Film,227355000.0,56800.0,909400.0,682100.0,10900000,2012.0,Feb,23.0,28.1,20.593684,78.96288
185,infobells  Telugu,28300000,14814192034,Education,505,India,IN,Education,288110000.0,72000.0,1200000.0,864300.0,13800000,2014.0,Mar,13.0,28.1,20.593684,78.96288
186,HUM TV,28300000,23844936965,Entertainment,106983,Pakistan,PK,Entertainment,684860000.0,171200.0,2700000.0,2100000.0,32900000,2011.0,May,25.0,9.0,30.375321,69.345116
187,Shemaroo Movies,28200000,7600740993,Entertainment,3009,India,IN,Film,184966000.0,46200.0,739900.0,554900.0,8900000,2011.0,Mar,1.0,28.1,20.593684,78.96288
188,Michael Jackson,28200000,14412474625,Music,15,United States,US,Music,158591000.0,39600.0,634400.0,475800.0,7600000,2005.0,Jun,22.0,88.2,37.09024,-95.712891
192,Bounce Patrol  Kids Songs,27800000,21037851468,Music,292,Australia,AU,Music,127441000.0,31900.0,509800.0,382300.0,6100000,2013.0,Jan,1.0,113.1,-25.274398,133.775136
193,toycantando,27700000,15777682516,Music,619,Colombia,CO,Music,173836000.0,43500.0,695300.0,521500.0,8300000,2009.0,Jul,7.0,55.3,4.570868,-74.297333
194,MrBeast 2,27500000,4552581106,People  Blogs,27,United States,US,Music,649.0,0.0,0.0,0.0,0,2011.0,Jun,23.0,88.2,37.09024,-95.712891
195,Wiz Khalifa,27500000,13379395501,Music,682,United States,US,Music,90450000.0,22600.0,361800.0,271300.0,4300000,2008.0,May,9.0,88.2,37.09024,-95.712891
196,JYP Entertainment,27400000,19883150017,Music,1753,South Korea,KR,Music,307631000.0,76900.0,1200000.0,922900.0,14800000,2008.0,Jan,25.0,94.3,35.907757,127.766922
197, Kids Roma Show,27400000,10336420490,People  Blogs,642,United States,US,Entertainment,175844000.0,44000.0,703400.0,527500.0,8400000,2015.0,May,12.0,88.2,37.09024,-95.712891
198,DanTDM,27400000,19417887510,Gaming,3664,United Kingdom,GB,Games,78668000.0,19700.0,314700.0,236000.0,3800000,2012.0,Jul,14.0,60.0,55.378051,-3.435973
199,Nick Jr,27300000,22440611155,Film  Animation,5438,United States,US,Entertainment,42546000.0,10600.0,170200.0,127600.0,2000000,2012.0,Sep,27.0,88.2,37.09024,-95.712891
200,Crazy XYZ,27300000,7705492350,Entertainment,1259,India,IN,Tech,102235000.0,25600.0,408900.0,306700.0,4900000,2017.0,Sep,10.0,28.1,20.593684,78.96288
202,Dushyant kukreja,27100000,17318452893,Entertainment,889,India,IN,Entertainment,429692000.0,107400.0,1700000.0,1300000.0,20600000,2015.0,Sep,26.0,28.1,20.593684,78.96288
204,Brent Rivera,27000000,6570935979,Comedy,554,United States,US,Entertainment,144453000.0,36100.0,577800.0,433400.0,6900000,2009.0,Aug,1.0,88.2,37.09024,-95.712891
205,Renato Garcia YT,26900000,7938616641,Entertainment,3956,Brazil,BR,Entertainment,82912000.0,20700.0,331600.0,248700.0,4000000,2011.0,Sep,29.0,51.3,-14.235004,-51.92528
206,Beast Reacts,26700000,4388047013,People  Blogs,241,United States,US,Entertainment,276187000.0,69000.0,1100000.0,828600.0,13300000,2016.0,Apr,24.0,88.2,37.09024,-95.712891
207,enchufetv,26700000,10317306313,Comedy,975,Colombia,CO,Comedy,24363000.0,6100.0,97500.0,73100.0,1200000,2011.0,Nov,13.0,55.3,4.570868,-74.297333
208,Netflix,26700000,7173668905,Entertainment,6471,United States,US,Entertainment,118226000.0,29600.0,472900.0,354700.0,5700000,2012.0,Jul,17.0,88.2,37.09024,-95.712891
209,Raffy Tulfo in Action,26500000,15065753455,News  Politics,10022,Philippines,PH,News,163130000.0,40800.0,652500.0,489400.0,7800000,2016.0,Apr,20.0,35.5,12.879721,121.774017
210,WORLDSTARHIPHOP,26500000,20358117330,Music,6873,United States,US,Music,89098000.0,22300.0,356400.0,267300.0,4300000,2008.0,Nov,8.0,88.2,37.09024,-95.712891
211,Goldmines Bollywood,26400000,8595760553,Film  Animation,3622,India,IN,Film,99677000.0,24900.0,398700.0,299000.0,4800000,2015.0,Jul,22.0,28.1,20.593684,78.96288
